Hirschberg,Local0,Local1,Local2,Global0,Global1,Global2,Affine0,Affine1,Affine2
[ 1.92702378e-07  7.44137955e-03 -4.51370182e+00],[ 1.16422593e-07  8.26417279e-03 -7.06912312e+00],[ 6.72289610e-07 -4.68779536e-04  6.88333816e-01],[ 2.65682868e-06 -9.53572809e-03  1.15820680e+01],[ 1.01311017e-06  3.08699511e-03 -5.65847449e+00],[ 7.65687953e-07  5.80502313e-03 -5.28811066e+00],[ 1.75430848e-06 -4.22737088e-03  2.80544876e+01],[5.37948851e-07 1.01579763e-04 1.16749852e-02],[ 6.24110184e-07 -5.62154013e-04  5.64005692e-01],[ 1.48110019e-06 -1.36933803e-03  6.88890067e+00]
[ 3.26654870e-06  4.39731793e-04 -4.62831393e-01],[ 9.13961132e-06 -5.72928762e-03  6.97415005e+00],[ 1.01215622e-05 -1.34846197e-02  1.46458153e+01],[ 9.50185252e-06  6.06663520e-03 -1.08895014e+01],[8.62751933e-06 2.03842952e-04 7.38754203e-01],[ 8.31161934e-06  4.80167675e-03 -4.62032988e+00],[ 8.73788318e-06  5.87723247e-04 -8.62019358e-01],[ 5.39498004e-06  2.79575993e-02 -3.73366978e+01],[ 6.48533246e-06  2.62126745e-03 -2.26161342e+00],[ 8.00977229e-06 -2.05611045e-03  1.44153854e+00]
